Date,Time,Temperature,Pressure
06/10/2015,134320.312,35,65535
06/10/2015,134321.312,35,65535
06/10/2015,134322.312,35,65535
06/10/2015,134323.312,35,65535
06/10/2015,134324.312,35,65535
06/10/2015,134325.312,35,65535
06/10/2015,134326.312,35,65535
06/10/2015,134327.312,35,65535
06/10/2015,134328.312,35,65535
06/10/2015,134329.312,35,65535
06/10/2015,134330.312,35,65535
06/10/2015,134331.312,35,65535
06/10/2015,134332.312,35,65535
06/10/2015,134333.312,35,65535
06/10/2015,134334.312,35,65535
06/10/2015,134335.312,35,65535
06/10/2015,134336.312,35,65535
06/10/2015,134337.312,35,65535
06/10/2015,134338.312,36,65535
06/10/2015,134339.312,36,65535
06/10/2015,134340.312,36,65535
06/10/2015,134341.312,36,65535
06/10/2015,134342.312,36,65535
06/10/2015,134343.312,36,65535
06/10/2015,134344.312,36,65535
06/10/2015,134345.312,36,65535
06/10/2015,134346.312,36,65535
06/10/2015,134347.312,36,65535
06/10/2015,134348.312,36,65535
06/10/2015,134349.312,36,65535
06/10/2015,134350.312,36,65535
06/10/2015,134351.312,36,65535
06/10/2015,134352.312,36,65535
06/10/2015,134353.312,36,65535
06/10/2015,134354.312,35,65535
06/10/2015,134355.312,35,65535
06/10/2015,134356.312,35,65535
06/10/2015,134357.312,35,65535
06/10/2015,134358.312,35,65535
06/10/2015,134359.312,35,65535
06/10/2015,134400.312,35,65535
06/10/2015,134401.312,35,65535
06/10/2015,134402.312,36,65535
06/10/2015,134403.312,36,65535
06/10/2015,134404.312,36,65535
06/10/2015,134405.312,36,65535
06/10/2015,134406.312,36,65535
06/10/2015,134407.312,36,65535
06/10/2015,134408.312,36,65535
06/10/2015,134409.312,36,65535
06/10/2015,134410.312,35,65535
06/10/2015,134411.312,35,65535
06/10/2015,134412.312,35,65535
06/10/2015,134413.312,35,65535
06/10/2015,134414.312,35,65535
06/10/2015,134415.312,35,65535
06/10/2015,134416.312,35,65535
06/10/2015,134417.312,35,65535
06/10/2015,134418.312,36,65535
06/10/2015,134419.312,36,65535
06/10/2015,134420.312,36,65535
06/10/2015,134421.312,36,65535
06/10/2015,134422.312,36,65535
06/10/2015,134423.312,36,65535
06/10/2015,134424.312,36,65535
06/10/2015,134425.312,36,65535
06/10/2015,134426.312,36,65535
06/10/2015,134427.312,36,65535
06/10/2015,134428.312,36,65535
06/10/2015,134429.312,36,65535
06/10/2015,134430.312,36,65535
06/10/2015,134431.312,36,65535
06/10/2015,134432.312,36,65535
06/10/2015,134433.312,36,65535
06/10/2015,134434.312,36,65535
06/10/2015,134435.312,36,65535
06/10/2015,134436.312,36,65535
06/10/2015,134437.312,36,65535
06/10/2015,134438.312,36,65535
06/10/2015,134439.312,36,65535
06/10/2015,134440.312,36,65535
06/10/2015,134441.312,36,65535
06/10/2015,134442.312,36,65535
06/10/2015,134443.312,36,65535
06/10/2015,134444.312,36,65535
06/10/2015,134445.312,36,65535
06/10/2015,134446.312,36,65535
06/10/2015,134447.312,36,65535
06/10/2015,134448.312,36,65535
06/10/2015,134449.312,36,65535
06/10/2015,134450.312,35,65535
06/10/2015,134451.312,35,65535
06/10/2015,134452.312,35,65535
06/10/2015,134453.312,35,65535
06/10/2015,134454.312,35,65535
06/10/2015,134455.312,35,65535
06/10/2015,134456.312,35,65535
06/10/2015,134457.312,35,65535
06/10/2015,134458.312,36,65535
06/10/2015,134459.312,36,65535
06/10/2015,134500.312,36,65535
06/10/2015,134501.312,36,65535
06/10/2015,134502.312,36,65535
06/10/2015,134503.312,36,65535
06/10/2015,134504.312,36,65535
06/10/2015,134505.312,36,65535
06/10/2015,134506.312,35,65535
06/10/2015,134507.312,35,65535
06/10/2015,134508.312,35,65535
06/10/2015,134509.312,35,65535
06/10/2015,134510.312,35,65535
06/10/2015,134511.312,35,65535
06/10/2015,134512.312,35,65535
06/10/2015,134513.312,35,65535
06/10/2015,134514.312,36,65535
06/10/2015,134515.312,36,65535
06/10/2015,134516.312,36,65535
06/10/2015,134517.312,36,65535
06/10/2015,134518.312,36,65535
06/10/2015,134519.312,36,65535
06/10/2015,134520.312,36,65535
06/10/2015,134521.312,36,65535
06/10/2015,134522.312,36,65535
06/10/2015,134523.312,36,65535
06/10/2015,134524.312,36,65535
06/10/2015,134525.312,36,65535
06/10/2015,134526.312,36,65535
06/10/2015,134527.312,36,65535
06/10/2015,134528.312,36,65535
06/10/2015,134529.312,36,65535
06/10/2015,134530.312,35,65535
06/10/2015,134531.312,35,65535
06/10/2015,134532.312,35,65535
06/10/2015,134533.312,35,65535
06/10/2015,134534.312,35,65535
06/10/2015,134535.312,35,65535
06/10/2015,134536.312,35,65535
06/10/2015,134537.312,35,65535
06/10/2015,134538.312,36,65535
06/10/2015,134539.312,36,65535
06/10/2015,134540.312,36,65535
06/10/2015,134541.312,36,65535
06/10/2015,134542.312,36,65535
06/10/2015,134543.312,36,65535
06/10/2015,134544.312,36,65535
06/10/2015,134545.312,36,65535
06/10/2015,134546.312,36,65535
06/10/2015,134547.312,36,65535
06/10/2015,134548.312,36,65535
06/10/2015,134549.312,36,65535
06/10/2015,134550.312,36,65535
06/10/2015,134551.312,36,65535
06/10/2015,134552.312,36,65535
06/10/2015,134553.312,36,65535
06/10/2015,134554.312,35,65535
06/10/2015,134555.312,35,65535
06/10/2015,134556.312,35,65535
06/10/2015,134557.312,35,65535
06/10/2015,134558.312,35,65535
06/10/2015,134559.312,35,65535
06/10/2015,134600.312,35,65535
06/10/2015,134601.312,35,65535
06/10/2015,134602.312,35,65535
06/10/2015,134603.312,35,65535
06/10/2015,134604.312,35,65535
06/10/2015,134605.312,35,65535
06/10/2015,134606.312,35,65535
06/10/2015,134607.312,35,65535
06/10/2015,134608.312,35,65535
06/10/2015,134609.312,35,65535
